,Model,Threshold,PC,PCS,AUC,AUC+
3,f4,36.0,0.019865649,0.03372493798336503,0.7966827180310326,0.8283476822802665
0,f1,37.0,0.018094413,0.029217608240785405,0.7886689200064381,0.8226836203658994
1,f2,37.0,0.018094413,0.029217608240785405,0.7886689200064381,0.8226836203658994
2,f3,37.0,0.018094413,0.029217608240785405,0.7886689200064381,0.8226836203658994
3,f4,37.0,0.018094413,0.029217608240785405,0.7886689200064381,0.8226836203658994
0,f1,38.0,0.015330865,0.026240790142276437,0.7948424796747968,0.8253938008130082
1,f2,38.0,0.015330865,0.026240790142276437,0.7948424796747968,0.8253938008130082
2,f3,38.0,0.015330865,0.026240790142276437,0.7948424796747968,0.8253938008130082
3,f4,38.0,0.015330865,0.026240790142276437,0.7948424796747968,0.8253938008130082
0,f1,39.0,0.014414245000000001,0.024416582064297736,0.7862605752961083,0.822233502538071
1,f2,39.0,0.014414245000000001,0.024416582064297736,0.7862605752961083,0.822233502538071
2,f3,39.0,0.014414245000000001,0.024416582064297736,0.7862605752961083,0.822233502538071
3,f4,39.0,0.014414245000000001,0.024416582064297736,0.7862605752961083,0.822233502538071
0,f1,40.0,0.011641242999999999,0.01811378205128215,0.7831477732793521,0.8192476383265856
1,f2,40.0,0.011641242999999999,0.01811378205128215,0.7831477732793521,0.8192476383265856
2,f3,40.0,0.011641242999999999,0.01811378205128215,0.7831477732793521,0.8192476383265856
3,f4,40.0,0.011641242999999999,0.01811378205128215,0.7831477732793521,0.8192476383265856
